EMPRESA,TICKER,CNPJ
3R PETROLEUM ÓLEO E GÁS S.A,RRRP3,12091809000155
AERIS INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS DE GERAÇÃO DE ENERGIA S/A,AERI3,12528708000107
AES BRASIL ENERGIA S.A.,AESB3,37663076000107
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,21240146000184
ALIANSCE SONAE SHOPPING CENTERS S.A.,ALSO3,5878397000132
ALLIED TECNOLOGIA S.A.,ALLD3,20247322000147
ALLPARK EMPREENDIMENTOS PARTICIPAÇÕES SERVIÇOS S.A.,ALPK3,60537263000166
ALLPARK EMPREENDIMENTOS PARTICIPAÇÕES SERVIÇOS S.A.,ALPK9,60537263000166
ALPARGATAS S.A.,ALPA3,61079117000105
ALPARGATAS S.A.,ALPA4,61079117000105
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,APER3,11721921000160
ALPHAVILLE S.A.,AVLL3,16811931000100
ALPHAVILLE S.A.,AVLL11,16811931000100
ALUPAR INVESTIMENTO S/A,ALUP3,8364948000138
ALUPAR INVESTIMENTO S/A,ALUP4,8364948000138
ALUPAR INVESTIMENTO S/A,ALUP11,8364948000138
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S/A,AMBP3,12648266000124
AMERICANAS S.A.,AMER3,776574000156
ANIMA HOLDING S.A.,ANIM3,9288252000132
AREZZO INDÚSTRIA E COMÉRCIO S.A.,ARZZ3,16590234000176
"ARMAC LOCAÇÃO, SERVIÇOS E SERVIÇOS S.A.",ARML3,242184000104
ATACADÃO S.A.,CRFB3,75315333000109
ATMA PARTICIPAÇÕES S.A.,ATMP3,4032433000180
AZUL S.A.,AZUL4,9305994000129
"B3 S.A. – BRASIL, BOLSA, BALCÃO",B3SA3,9346601000125
BANCO ABC BRASIL S.A.,ABCB4,28195667000106
BANCO BTG PACTUAL S.A.,BPAC3,30306294000145
BANCO BTG PACTUAL S.A.,BPAC5,30306294000145
BANCO BTG PACTUAL S.A.,BPAC11,30306294000145
BANCO BRADESCO S.A.,BBDC3,60746948000112
BANCO BRADESCO S.A.,BBDC4,60746948000112
BANCO DO BRASIL S.A.,BBAS11,191
BANCO DO BRASIL S.A.,BBAS12,191
BANCO DO BRASIL S.A.,BBAS3,191
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,BRSR3,92702067000196
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,BRSR5,92702067000196
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,BRSR6,92702067000196
BANCO INTER S.A.,BIDI3,416968000101
BANCO INTER S.A.,BIDI4,416968000101
BANCO INTER S.A.,BIDI11,416968000101
BANCO MERCANTIL DO BRASIL S.A.,BMEB3,17184037000110
BANCO MERCANTIL DO BRASIL S.A.,BMEB4,17184037000110
BANCO MODAL S.A.,MODL3,30723886000162
BANCO MODAL S.A.,MODL4,30723886000162
BANCO MODAL S.A.,MODL11,30723886000162
BANCO PAN,BPAN4,59285411000113
BANCO PINE S.A.,PINE3,62144175000120
BANCO PINE S.A.,PINE4,62144175000120
BB SEGURIDADE PARTICIPAÇÕES S.A.,BBSE3,17344597000194
BEMOBI MOBILE TECH S.A.,BMOB3,9042817000105
BK BRASIL OPERAÇÕES E ASSESSORIA A RESTAURANTES SA,BKBR3,13574594000196
BLAU FARMACÊUTICA S.A.,BLAU3,58430828000160
BOA SAFRA SEMENTES S.A.,SOJA3,10807374000177
BOA VISTA SERVIÇOS S.A.,BOAS3,11725176000127
BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,BRBI11,10739356000103
BR MALLS PARTICIPAÇÕES S.A.,BRML3,6977745000191
BR PROPERTIES S.A.,BRPR3,6977751000149
BRADESPAR S.A.,BRAP3,3847461000192
BRADESPAR S.A.,BRAP4,3847461000192
BRASIL BROKERS PARTICIPAÇÕES S.A.,BBRK3,8613550000198
BRASILAGRO – COMPANHIA BRASILEIRA DE PROPRIEDADES AGRÍCOLAS,AGRO3,7628528000159
BRASKEM S.A.,BRKM3,42150391000170
BRASKEM S.A.,BRKM5,42150391000170
BRASKEM S.A.,BRKM6,42150391000170
BRF S.A.,BRFS3,1838723000127
BRISANET PARTICIPAÇÕES S.A.,BRIT3,19796586000170
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,CXSE3,22543331000100
CAMIL ALIMENTOS S.A.,CAML3,64904295000103
CCR S.A.,CCRO3,2846056000197
C&A MODAS S.A.,CEAB3,45242914000105
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS,ELET3,1180000126
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS,ELET5,1180000126
CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS,ELET6,1180000126
CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.,CLSC3,83878892000155
CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.,CLSC4,83878892000155
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.,AALR3,42771949000135
CIELO S.A.,CIEL3,1027058000191
CLEAR SALE S.A.,CLSA3,3802115000198
CM HOSPITALAR S.A.,VVEO3,12420164000157
COGNA EDUCAÇÃO S.A.,COGN3,2800026000140
COMPANHIA BRASILEIRA DE ALUMÍNIO,CBAV3,61409892000173
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,47508411000156
COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO,SBSP3,43776517000180
COMPANHIA DE SANEAMENTO DE MINAS GERAIS – COPASA MG,CSMG3,17281106000103
COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR,SAPR3,76484013000145
COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR,SAPR4,76484013000145
COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR,SAPR11,76484013000145
COMPANHIA ENERGÉTICA DE MINAS GERAIS – CEMIG,CMIG3,17155730000164
COMPANHIA ENERGÉTICA DE MINAS GERAIS – CEMIG,CMIG4,17155730000164
COMPANHIA ENERGÉTICA DE SÃO PAULO – CESP,CESP3,60933603000178
COMPANHIA ENERGÉTICA DE SÃO PAULO – CESP,CESP5,60933603000178
COMPANHIA ENERGÉTICA DE SÃO PAULO – CESP,CESP6,60933603000178
COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELÉTRICA – CEEE-T,EEEL3,92715812000131
COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELÉTRICA – CEEE-T,EEEL4,92715812000131
COMPANHIA FIAÇÃO TECIDOS CEDRO CACHOEIRA,CEDO3,17245234000100
COMPANHIA FIAÇÃO TECIDOS CEDRO CACHOEIRA,CEDO4,17245234000100
COMPANHIA LOCAÇÃO DAS AMÉRICAS,LCAM3,10215988000160
COMPANHIA PARAENSE DE ENERGIA – COPEL,CPLE3,76483817000120
COMPANHIA PARAENSE DE ENERGIA – COPEL,CPLE5,76483817000120
COMPANHIA PARAENSE DE ENERGIA – COPEL,CPLE6,76483817000120
COMPANHIA PARAENSE DE ENERGIA – COPEL,CPLE11,76483817000120
COMPANHIA TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA,TRPL3,2998611000104
COMPANHIA TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA,TRPL4,2998611000104
CONSTRUTORA TENDA S.A.,TEND3,71476527000135
COSAN S.A.,CSAN3,50746577000115
CPFL ENERGIA S.A.,CPFE3,2429144000193
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,62984091000102
CSN MINERAÇÃO S.A.,CMIN3,8902291000115
CSU CARDSYSTEM S.A.,CARD3,1896779000138
